Testnet,Proposal #,Title,Status,Amount Asked,Amount Minted,Exchange Rate,$ amount,Category,Bounty,WG,Reimbursed
Antioch,247,,,,,,,,,,
Antioch,248,,,,,,,,,,
Antioch,249,,,,,,,,,,
Antioch,250,,,,,,,,,,
Antioch,251,,,,,,,,,,
Antioch,252,,,,,,,,,,
Antioch,253,,,,,,,,,,
Antioch,254,,,,,,,,,,
Antioch,255,,,,,,,,,,
Antioch,256,,,,,,,,,,
Antioch,257,,,,,,,,,,
Antioch,258,,,,,,,,,,
Antioch,259,,,,,,,,,,
Antioch,260,,,,,,,,,,
Antioch,261,,,,,,,,,,
Antioch,262,Payment for bounty 14: stwoof,Approved,28360870,28360870,,,Bounties,14,,Y
Antioch,263,Payment for bounty 14: maxlevush,Approved,9308183,9308183,,,Bounties,14,,Y
Antioch,264,Payments for Bounty 14: spat_sochi,Approved,5235853,5235853,,,Bounties,14,,Y
Antioch,265,,,,,,,,,,
Antioch,266,,,,,,,,,,
Antioch,267,Payments for Bounty 14: mmsaww,Approved,581762,581762,,,Bounties,14,,Y
Antioch,268,Payment for discord video bot improving,Approved,736594,736594,,,Tools,,,
Antioch,269,,,,,,,,,,
Antioch,270,,,,,,,,,,
Antioch,271,,,,,,,,,,
Antioch,272,,,,,,,,,,
Antioch,273,,,,,,,,,,
Antioch,274,,,,,,,,,,
Antioch,275,,,,,,,,,,
Antioch,276,,,,,,,,,,
Antioch,277,Missed payments.,Approved,1026000,1026000,,,WG Missed Payments,,,
Antioch,278,,,,,,,,,,
Antioch,279,,,,,,,,,,
Antioch,280,,,,,,,,,,
Antioch,281,Reward for Bounty #10,Approved,18749900,18749900,,,Bounties,10,,Y
Antioch,282,Awarded for creating a bot for Telegram,Approved,2000000,2000000,,,Tools,,,
Antioch,283,Awarded for proposing a Telegram bot,Approved,400000,400000,,,Tools,,,
Antioch,284,,,,,,,,,,
Antioch,285,,,,,,,,,,
Antioch,286,,,,,,,,,,
Antioch,287,,,,,,,,,,
Antioch,288,,,,,,,,,,
Antioch,289,,,,,,,,,,
Antioch,290,,,,,,,,,,
Antioch,291,,,,,,,,,,
Antioch,292,,,,,,,,,,
Antioch,293,,,,,,,,,,
Antioch,294,,,,,,,,,,
Antioch,295,,,,,,,,,,
Antioch,296,,,,,,,,,,
Antioch,297,,,,,,,,,,
Antioch,298,,,,,,,,,,
Antioch,299,,,,,,,,,,
